condition_grouper_name,condition_grouper_canonical_url,condition_grouper_version,reporting_spec_grouper_snomed,reporting_spec_grouper_name,reporting_spec_grouper_canonical_url,reporting_spec_grouper_version
Chikungunya_virus_disease,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/c4ee0890-4e4f-41ae-8f15-5b75442bc4eb,2.0.0,111864006,Chikungunya virus disease,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-111864006,20250328
Chlamydia_trachomatis_infection,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/ecbcc071-0061-4a76-a984-b98137e9b233,2.0.0,240589008,Chlamydia trachomatis Infection,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-240589008,20250328
Chlamydia_trachomatis_infection,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/ecbcc071-0061-4a76-a984-b98137e9b233,2.0.0,105629000,Chlamydia,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-105629000,20250328
Choanal_Atresia,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/f3eded9a-1b63-4e81-b07c-7658521567a2,2.0.0,204508009,Choanal Atresia,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-204508009,20250328
Cholera,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/14cc30bb-f817-4c6d-bd6e-5493b95bdb2f,2.0.0,63650001,Cholera,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-63650001,20250328
Cleft_Lip_Alone,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/9f8d64e9-749e-4ddb-af78-8ce828ee57f6,2.0.0,80281008,Cleft Lip Alone,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-80281008,20250328
Cleft_Lip_with_Cleft_Palate,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/fb1ce8e1-44bc-4ab9-8445-3d5be1b93769,2.0.0,66948001,Cleft Lip with Cleft Palate,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-66948001,20250328
Cleft_Palate_Alone,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/716c0c6b-2b2f-4f85-9043-58e23a333e6c,2.0.0,87979003,Cleft Palate Alone,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-87979003,20250328
Cloacal_Exstrophy,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/a9aa918a-0f7d-48da-86e2-c18c94b27cae,2.0.0,20815007,Cloacal Exstrophy,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-20815007,20250328
Clostridioides_difficile_C_diff_infection,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/f8e127b7-2da2-403b-934c-2dae749b760e,2.0.0,186431008,Clostridioides difficile (C. diff) infection,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-186431008,20250328
Clostridium_perfringens_Infection,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/4733056c-8880-4362-ac0f-e96d9be4b1d2,2.0.0,65154009,Clostridium perfringens Infection,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-65154009,20250328
Coal_Workers_Pneumoconiosis_CWP,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/df4c3914-5cd5-4364-95f5-59fc62fcd123,2.0.0,29422001,Coal Workers’ Pneumoconiosis (CWP),https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-29422001,20250328
Coarctation_of_the_Aorta,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/ff826686-c0ca-45b2-843d-9cefc052d34c,2.0.0,7305005,Coarctation of the Aorta,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-7305005,20250328
Coccidioidomycosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/06f4a972-62b3-4e0f-affd-eb78e31085ef,2.0.0,60826002,Coccidioidomycosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-60826002,20250328
Colorado_tick_fever,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/2a58b909-993c-4a69-986f-d284815c8bf2,2.0.0,6452009,Colorado tick fever,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-6452009,20250328
Congenital_cytomegalovirus_cCMV_infection_and_disease,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/d8a09682-e817-4a0a-b59f-5ba6a7992a3e,2.0.0,59527008,Congenital cytomegalovirus (cCMV) infection and disease,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-59527008,20250328
Congenital_Posterior_Urethral_Valves,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/d8a335c8-2ece-4b1f-abb3-c7a7444b293b,2.0.0,253900005,Congenital Posterior Urethral Valves,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-253900005,20250328
COVID19,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/07221093-b8a1-4b1d-8678-259277bfba64,2.0.0,186747009,COVID-19,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-186747009,20250328
COVID19,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/07221093-b8a1-4b1d-8678-259277bfba64,2.0.0,840539006,COVID-19,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-840539006,20250328
CreutzfeldtJakob_Disease_CJD_and_Variant_CreutzfeldtJakob_Disease_vCJD,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/e2d47ee8-a731-4a90-8fe7-5a224e1a5213,2.0.0,792004,Creutzfeldt-Jakob Disease (CJD) and Variant Creutzfeldt-Jakob Disease (vCJD),https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-792004,20250328
Cryptococcosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/08d5cef0-7dbc-43a8-8b69-1e2a27be8d47,2.0.0,42386007,Cryptococcosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-42386007,20250328
Cryptosporidiosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/714e4a83-2be8-45de-a72a-451901f2d307,2.0.0,240370009,Cryptosporidiosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-240370009,20250328
Cyanobacteria_And_Cyanotoxin_Poisoning,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/5ffd7e43-cf80-4a95-8a74-f2a15c54fb3f,2.0.0,41439009,Cyanobacteria and Cyanotoxin Poisoning,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-41439009,20250328
Cyclosporiasis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/a5d9def2-a308-410c-b626-8462c5db687d,2.0.0,240372001,Cyclosporiasis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-240372001,20250328
Cysticercosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/66df22ba-d941-40a3-8725-70cd0b3d82bd,2.0.0,59051007,Cysticercosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-59051007,20250328
Dengue_Virus_Infection,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/0138da5e-7df9-4e4a-9ef1-35c2414ca7e6,2.0.0,38362002,Dengue Virus Infection,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-38362002,20250328
Diphtheria,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/66b2bcd9-123e-4d4d-b50d-6eba3536d911,2.0.0,276197005,Diphtheria,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-276197005,20250328
Diphtheria,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/66b2bcd9-123e-4d4d-b50d-6eba3536d911,2.0.0,397428000,Diphtheria,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-397428000,20250328
Diphyllobothriasis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/e3a785c7-10ee-4d32-b1f5-6d1e4605455f,2.0.0,187151009,Diphyllobothriasis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-187151009,20250328
Double_Outlet_Right_Ventricle_DORV,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/6f06f502-deb3-42bb-96b8-0333215ef66c,2.0.0,7484005,Double Outlet Right Ventricle (DORV),https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-7484005,20250328
Down_Syndrome,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/9e5aec32-579f-4646-ab1c-4b6ec122c38d,2.0.0,41040004,Down Syndrome,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-41040004,20250328
Drowning_and_Submersion,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/c05cab96-c023-4ee2-bb7d-071fb600be7b,2.0.0,212962007,Drowning and Submersion,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-212962007,20250328
Drug_Overdose_and_Poisoning_Nonopioid,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/bac3505f-0e55-4ca6-b3c3-d6088ac6a292,2.0.0,1149222004,"Drug Overdose and Poisoning, Non-opioid",https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-1149222004,20250328
Eastern_equine_encephalitis_virus_disease,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/af013ac0-d3a4-4322-a3cc-e226717558a0,2.0.0,416925005,Eastern equine encephalitis virus disease,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-416925005,20250328
Ebstein_Anomaly,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/6cd0ee8e-d54a-410c-9114-5e7d897ceff5,2.0.0,204357006,Ebstein Anomaly,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-204357006,20250328
Echinococcosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/58d28abc-b633-46a3-9776-4c1e139c0e8d,2.0.0,74942003,Echinococcosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-74942003,20250328
Ehrlichiosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/48db8707-58df-48da-b874-4be33a348541,2.0.0,240626005,Ehrlichiosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-240626005,20250328
Encephalitis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/74731f8c-a961-4b64-b485-1d7525019c58,2.0.0,45170000,Encephalitis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-45170000,20250328
Encephalocele,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/8d5e11fa-9288-4063-86b3-f77adff72246,2.0.0,55999004,Encephalocele,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-55999004,20250328
Escherichia_coli_Infection,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/9d551905-8e92-480f-a0b7-da8f4e2733db,2.0.0,111407006,Hemolytic uremic syndrome (HUS),https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-111407006,20250328
Escherichia_coli_Infection,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/9d551905-8e92-480f-a0b7-da8f4e2733db,2.0.0,328291000119103,Shiga toxin-producing Escherichia coli (STEC) infection,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-328291000119103,20250328
Farmers_Lung,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/c80f48ad-18c0-4fb3-88b9-5ba0bee638d9,2.0.0,18690003,Farmer’s Lung,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-18690003,20250328
Galactosemia,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/27bcaeb2-ac39-4967-a1c1-e65c964789fa,2.0.0,190745006,Galactosemia,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-190745006,20250328
Gastroschisis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/bdf59f98-0f6a-4960-a784-f900ba65041a,2.0.0,72951007,Gastroschisis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-72951007,20250328
Genital_Warts,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/d10b003e-be39-45ac-ae41-3490aee18f5e,2.0.0,266113007,Genital Warts,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-266113007,20250328
Giardiasis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/07bd2637-db14-4061-8be9-169a480966ee,2.0.0,58265007,Giardiasis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-58265007,20250328
Glanders,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/0ef52922-ed1c-4335-8b72-1d2484021421,2.0.0,4639008,Glanders,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-4639008,20250328
Gonorrhea,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/d5624804-b7a3-44e9-8d81-17bb48162304,2.0.0,15628003,Gonorrhea,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-15628003,20250328
Granuloma_Inguinale_Donovanosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/e920d507-f8d0-4d7a-8783-d2798d97e3eb,2.0.0,28867007,Granuloma Inguinale (Donovanosis),https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-28867007,20250328
GuillainBarr_Syndrome,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/406dc3d3-176c-452f-99ac-1842b0d960ea,2.0.0,40956001,Guillain-Barré Syndrome,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-40956001,20250328
Gunshot_Wound,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/0d9f5e2a-c8d2-47ae-bb03-2261fc06a65e,2.0.0,283545005,Firearm-related injury,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-283545005,20250328
Hansens_disease,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/8a086d13-b6fd-4d7e-b202-fcb0564d3c02,2.0.0,81004002,Hansen’s disease,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-81004002,20250328
Hantavirus_Infection,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/c50a7a39-3a43-445a-992a-a8f857473d23,2.0.0,359761005,Hantavirus Infection,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-359761005,20250328
